名称,分类
甘草,草部
蜜甘,草部
蜜草,草部
美草,草部
草,草部
灵通,草部
国老,草部
黄芪,草部
戴糁,草部
戴椹,草部
草,草部
百本,草部
王孙,草部
（“芪”原作为“耆”）,草部
人参,草部
黄参,草部
血参,草部
人衔,草部
鬼盖,草部
神草,草部
土精,草部
地精,草部
海腴,草部
皱面还丹,草部
沙参,草部
白参,草部
知母,草部
羊乳,草部
羊婆奶,草部
铃儿草,草部
虎须,草部
苦心,草部
荠苠,草部
齐尼,草部
杏参,草部
杏叶沙参,草部
甜桔梗,草部
白面根,草部
苗名隐忍,草部
桔梗,草部
白药,草部
梗草,草部
荠,草部
长松,草部
仙茆,草部
生古松下，根色如荠，味似人参,草部
黄精,草部
黄芝,草部
戊已芝,草部
菟竹,草部
鹿竹,草部
仙人余粮,草部
救穷草,草部
米铺,草部
野生姜,草部
重楼,草部
鸡格,草部
龙御,草部
垂珠,草部
萎蕤,草部
女萎,草部
葳蕤,草部
萎,草部
委萎,草部
萎香,草部
荧,草部
玉竹,草部
地节,草部
知母,草部
母,草部
连母,草部
母,草部
货母,草部
地参,草部
水参（水须、水浚）,草部
荨,草部
藩,草部
苦心,草部
心草,草部
肉苁蓉,草部
肉松容,草部
黑司命,草部
列当,草部
栗当,草部
草苁蓉,草部
花苁蓉,草部
赤箭（天麻）,草部
赤箭芝,草部
独摇芝,草部
定风草,草部
离母,草部
合离草,草部
神草,草部
鬼督邮,草部
赤箭以“其茎如箭杆”，赤色而得名。《神农本草经》,草部
术（白术）,草部
山蓟,草部
杨,草部
蓟,草部
马蓟,草部
山姜,草部
山连,草部
吃力伽,草部
苍术,草部
赤术,草部
山精,草部
仙术,草部
山蓟,草部
狗脊,草部
强,草部
扶筋,草部
百枝,草部
狗青,草部
贯众,草部
贯节,草部
贯渠,草部
百头,草部
草头,草部
黑狗脊,草部
凤尾草,草部
巴戟天,草部
不凋草,草部
三蔓草,草部
远志,草部
苗名小草,草部
细草,草部
棘菀,草部
绕,草部
淫羊霍,草部
仙灵脾,草部
放杖草,草部
弃杖草,草部
千两金,草部
干鸡筋,草部
黄连祖,草部
三枝九叶草,草部
刚草,草部
仙茅,草部
独茅,草部
茅爪子,草部
婆罗门参,草部
玄参,草部
黑参,草部
玄台、,草部
重台,草部
鹿肠,草部
正马,草部
逐马,草部
馥草,草部
野脂麻,草部
鬼藏,草部
地榆,草部
玉豉,草部
酸赭,草部
丹参,草部
赤参,草部
山参,草部
郗蝉草,草部
木羊乳,草部
逐马,草部
奔马草,草部
紫参,草部
牡蒙,草部
童肠,草部
马行,草部
众戎,草部
五鸟花,草部
紫草,草部
紫丹,草部
紫夭,草部
此戾,草部
藐,草部
地血,草部
鸦衔草,草部
白头翁,草部
野丈人,草部
胡王使者,草部
奈何草,草部
白及,草部
连及草,草部
甘根,草部
白给,草部
三七,草部
山漆,草部
金不换,草部
黄连,草部
王连,草部
支连,草部
胡黄连,草部
割孤露泽,草部
黄芩,草部
腐肠,草部
空肠,草部
内虚,草部
经芩,草部
黄文,草部
印头,草部
苦督邮,草部
内部实在的叫子芩、条芩、鼠芩,草部
秦艽,草部
艽,草部
音交,草部
秦瓜,草部
秦,草部
茈胡（柴胡）,草部
地熏,草部
芸蒿,草部
山菜,草部
茹草,草部
前胡,草部
《唐韵》作湔胡,草部
防风,草部
铜芸,草部
茴芸,草部
茴草,草部
屏风,草部
根,草部
百枝,草部
百蜚,草部
独活,草部
羌活,草部
羌青,草部
独摇草,草部
护羌使者,草部
胡王使者,草部
长生草,草部
李明珍说：“独活、羌活乃一类二种，以中国者为独活,草部
升麻,草部
周麻,草部
苦参,草部
苦,草部
苦骨,草部
地槐,草部
水槐,草部
菟槐,草部
骄槐,草部
野槐,草部
白茎,草部
白鲜,草部
音仙,草部
鲜,草部
白,草部
白羊鲜,草部
金雀儿椒,草部
延胡索,草部
玄胡索,草部
贝母,草部
苘,草部
勤母,草部
苦菜,草部
苦花,草部
空草,草部
药实,草部
山慈姑,草部
金灯,草部
鬼灯,草部
朱姑,草部
鹿蹄草,草部
无义草,草部
石蒜,草部
乌蒜,草部
老鸦蒜,草部
蒜头草,草部
婆婆酸,草部
一枝煎,草部
水麻,草部
白茅,草部
茹根,草部
兰根,草部
地筋,草部
龙胆,草部
陵游,草部
细辛,草部
小辛,草部
少辛,草部
及己,草部
“獐耳细辛”,草部
徐长卿,草部
鬼督邮,草部
别仙踪,草部
薇草,草部
白幕,草部
春草,草部
骨美,草部
白薇,草部
白前,草部
石蓝,草部
嗽药,草部
锦地罗,草部
微苦,草部
平,草部
无毒,草部
檀香,草部
旃檀,草部
真檀,草部
锁阳,草部
甘,草部
温,草部
无毒,草部
铁线草,草部
微苦,草部
平,草部
无毒,草部
当归,草部
干归,草部
山蕲,草部
白蕲,草部
文无,草部
芎穷,草部
胡,草部
川芎,草部
香果,草部
山鞠穷,草部
蘼芜,草部
薇芜,草部
蕲,草部
江蓠,草部
蛇床,草部
蛇米,草部
蛇粟,草部
虺床,草部
马床,草部
墙蘼,草部
藁本,草部
藁茇,草部
鬼卿,草部
地新,草部
微茎,草部
白芷,草部
白,草部
芳香,草部
泽芬,草部
苻蓠,草部
莞,草部
叶名麻,草部
药,草部
芍药,草部
将离,草部
梨食,草部
白芍,草部
余容,草部
延。,草部
白者名金芍药,草部
赤者名木芍药,草部
牡丹,草部
鼠姑,草部
鹿韭,草部
百两金,草部
木芍药,草部
花王,草部
木香,草部
蜜香,草部
青木香,草部
五木香,草部
南木香,草部
甘松香,草部
苦弥扯,草部
杜若,草部
杜蘅,草部
杜莲,草部
若芝,草部
楚蘅,草部
山姜,草部
高良姜,草部
