from,to,relation
甘草,蜜甘,别名
甘草,蜜草,别名
甘草,美草,别名
甘草,草,别名
甘草,灵通,别名
甘草,国老,别名
甘草,（根）甘、平、无毒。,性状
甘草,伤寒咽痛（少陰症）,主治
甘草,肺热喉痛（有炙热）,主治
甘草,肺痿（头昏眩，吐涎沫，小便频数，但不咳嗽）,主治
甘草,肺痿久嗽（恶寒发烧，骨节不适，嗽唾不止）,主治
甘草,小儿热嗽,主治
甘草,婴儿初生便闭,主治
甘草,小儿撮口风,主治
甘草,婴儿慢肝风（目涩、畏光、肿闭，甚至流血）,主治
甘草,儿童遗尿,主治
甘草,小儿尿中带血,主治
甘草,小儿干瘦,主治
甘草,赤白痢,主治
甘草,舌肿塞口（不治有生命危险）,主治
甘草,口疮,主治
甘草,背疽,主治
甘草,各种痈疽,主治
甘草,初起乳痈,主治
甘草,痘疮,主治
甘草,陰部垂痈（生于肛门前后，初发如松子大，渐如莲子，渐红肿如桃子。成脓破口，便难治好）,主治
甘草,陰部温痒,主治
甘草,冻疮发裂,主治
甘草,汤火伤,主治
伤寒咽痛（少陰症）,用甘草二两，蜜水炙过，加水二升，煮成一升半。每服五合，一天服两次。此方名“甘草汤”。,用法
肺热喉痛（有炙热）,用炒甘草二两、桔梗（淘米水浸一夜）一两，加入阿胶半斤。每服五钱，水煎服。,用法
肺痿（头昏眩，吐涎沫，小便频数，但不咳嗽）,用灸甘草四两、炮干姜二两，水三升，煮成一半，分几次服。此方名“甘草干姜汤”。,用法
肺痿久嗽（恶寒发烧，骨节不适，嗽唾不止）,用炙甘草三两，研细。每日取一钱，童便三合调下。,用法
小儿热嗽,用甘草二两，在猪胆汁中浸五天，取出灸后研细，和蜜做成丸子，如绿豆大。每服十丸，饭后服，薄荷汤送下。此方名“凉隔丸”。,用法
婴儿初生便闭,用甘草、枳壳各一钱，水半碗煎服。,用法
小儿撮口风,用甘草二钱半，煎服，令吐痰涎。再以乳汁点儿口中。,用法
婴儿慢肝风（目涩、畏光、肿闭，甚至流血）,用甘草一指长，猪胆汁炙过，研细。以米汁调少许灌下。,用法
儿童遗尿,用大甘草头煎汤，每夜临睡前服之。,用法
小儿尿中带血,用甘草一两二钱，加水六合，煎成二合。一岁儿一天服尽。,用法
小儿干瘦,用甘草三两，灸焦，研细，和蜜成丸，如绿豆大。每服五丸，温水送下。一天服二次。,用法
赤白痢,甘草一尺长，炙后劈破，以淡浆水一升半，煎至八合服下。,用法
舌肿塞口（不治有生命危险）,用甘草煎成浓汤，热嗽，随时吐出涎汁。,用法
口疮,用甘草二寸、白矾一块（如粟米大），同放口中细嚼，汁咽下。,用法
背疽,用甘草三两，捣碎，加大麦粉九两，共研细。滴入好醋少许和开水少许，做成饼子，热敷疽上。冷了再换。未成脓者可内消，已成脓者早熟破。体虚的人可加服黄芪粥。又方：甘草一两，微炙，捣碎，浸入一升水中，经过一夜，搅水使起泡，把泡撇掉，只饮甘草水。,用法
各种痈疽,用甘草三两，微灸，切细，浸入一半酒中；另取黑铅一片，熔汁投酒中，不久取出，反复九次。令病人饮此酒至醉，痈疽自渐愈。又方：甘草二斤，捶碎，水浸一夜，揉取浓汁，慢火熬成膏，收存罐中。每服一、二匙。此方名“国老膏”。消肿去毒，功效显著。,用法
初起乳痈,用炙甘草二钱，新汲水煎服。外咂乳頭，免致阻塞。,用法
痘疮,用灸甘草、栝楼根等分，煎水服。,用法
陰部垂痈（生于肛门前后，初发如松子大，渐如莲子，渐红肿如桃子。成脓破口，便难治好）,用甘草一两、溪水一碗，以小火慢慢蘸水灸之。自早至午，至水尽为度。劈开检视，甘草中心已有水润即可。取出细锉，再放入两碗酒中煎成一碗。温服。两剂之后，病热好转，但须经二十天，肿痛才会消尽。,用法
陰部温痒,用甘草煎汤，一天洗三、五次。,用法
冻疮发裂,先用甘草汤洗过，然后用黄连、黄芩共研为末，加水银粉、麻油调敷。,用法
汤火伤,用甘草煎蜜涂搽。,用法
甘草,草部,属于
黄芪,草部,属于
黄芪,戴糁,别名
黄芪,戴椹,别名
黄芪,草,别名
黄芪,百本,别名
黄芪,王孙,别名
黄芪,（“芪”原作为“耆”）,别名
黄芪,（根）甘、微温、无毒。,性状
黄芪,小便不通,主治
黄芪,酒疸黄疾（醉后感寒，身上发赤、黑、黄斑）,主治
黄芪,白浊,主治
黄芪,萎黄焦渴（每与痈疽发作，先后伴随）,主治
黄芪,老人便秘,主治
黄芪,血淋,主治
黄芪,少淋,主治
黄芪,吐血,主治
小便不通,用黄芪二钱，加水二碗，煎成一碗，温服。小儿减半。,用法
酒疸黄疾（醉后感寒，身上发赤、黑、黄斑）,用黄芪二两、木兰一两，共研细。每服少许。一天服三次，酒送下。,用法
白浊,用盐炒黄芪半两、茯苓一两，共研细。每服一钱。,用法
萎黄焦渴（每与痈疽发作，先后伴随）,用黄芪六两，一半生焙，一半加盐水在饭上蒸熟；另用甘草一两，也是一半生用，一半灸黄。二药共研细。每服二钱，一天两次。也可以煎服。此方名“黄芪六一汤”。,用法
老人便秘,用黄芪、陈皮各半两，研细。另用大麻子一合，捣烂，加水揉出浆汁，煎至半干，调入白蜜一匙，再煮过，把黄芪、陈皮末加入调匀服下。两服可通便。可以常服。,用法
血淋,用黄芪、黄连，等分为末，加面糊做成丸子，如绿豆大。每服三十丸。,用法
少淋,用黄芪、人参，等分为末。另用萝卜四、五片，加蜜二两，稍稍灸过后，蘸药末吃下，以盐水送服。,用法
吐血,用黄芪二钱半、紫背浮萍五钱，共研为末。每服一钱，姜蜜水送下。,用法
咳脓咳血，咽干（这是虚热，不可吃凉药）,用黄芪四两、甘草一两，共研为末。每服二钱，热水送下。,用法
肺痈,用黄芪二两研细，每取二钱煎汤服。一天可服三、四次。,用法
甲疽（趾甲边红肉突出成疽）,用黄芪二两、茹一两，醋浸一宿，加入猪油五合，微火煎成二合。去渣，取脂涂疮上。一天三次。,用法
胎动不安（腹痛，下黄汁）,用黄芪、芎各一两，糯米一合，水一升，一起煮到半到。分次服下。,用法
陰汗湿痒,用黄芪酒炒后研细，切熟猪心蘸着吃，有效。,用法
黄芪,咳脓咳血，咽干（这是虚热，不可吃凉药）,主治
肺痈,黄芪,主治
咳脓咳血，咽干（这是虚热，不可吃凉药）,黄芪,主治
黄芪,甲疽（趾甲边红肉突出成疽）,主治
黄芪,胎动不安（腹痛，下黄汁）,主治
黄芪,陰汗湿痒,主治
人参,草部,属于
人参,黄参,别名
人参,血参,别名
人参,人衔,别名
人参,鬼盖,别名
人参,神草,别名
人参,土精,别名
人参,地精,别名
人参,海腴,别名
人参,皱面还丹,别名
人参,甘、微寒、无毒。,性状
人参,陰亏陽绝之症（昏眩、自汗、痰鸣、脉大）,主治
人参,胸中痞坚，胁下逆气抢心,主治
人参,脾胃气虚，不思饮食,主治
人参,开胃化痰,主治
人参,胃寒气满，饥不能食,主治
人参,胃虚恶习，或呕吐有痰,主治
人参,反胃（饮食入口即吐，病人衰弱无力）,主治
人参,妊妇腹痛吐酸，不能饮食,主治
人参,陽虚气喘，自汗盗汗，气短头晕,主治
人参,喘急欲绝,主治
人参,产后发喘,主治
人参,产后诸虚、发热、自汗,主治
人参,产后大便不能，出血很多,主治
人参,横生倒产,主治
人参,怔忡自汗，心气不足,主治
人参,肺虚久咳,主治
人参,喘嗽咳血，脉弱无力,主治
人参,咳嗽吐血,主治
人参,吐血下血，血如泉涌,主治
人参,鼻血不止,主治
人参,陰虚尿血,主治
人参,水渴,主治
人参,痢久晕厥，六脉沉香,主治
人参,禁口痢,主治
人参,老人虚痢不止，不能饮食,主治
人参,伤寒坏症（伤寒症或其他时疫，病久体弱，脉沉伏，不省人事）,主治
人参,伤寒厥逆（身有微热，烦躁，六脉沉细）,主治
人参,筋骨风痛,主治
人参,小儿风抽筋,主治
人参,小儿惊后眼斜,主治
人参,蜈蚣、蜂虿螫伤,主治
陰亏陽绝之症（昏眩、自汗、痰鸣、脉大）,用人参十两细切，加水二十碗浸透，以桑柴火缓煎成膏。每服一至三碗。持续服至病愈。以方名“人参膏”。,用法
胸中痞坚，胁下逆气抢心,用人参、白术、干姜、甘草各三两，加水八升，煎至三升。每服一升，一天服三次。此方名“治中汤”（理中汤）。,用法
脾胃气虚，不思饮食,用人参一钱、白术二钱、茯苓一钱、炙甘草五分、姜三片、枣一枚，加水二杯，煎至一杯，饭前温服。此方名“四君子汤”（按：各药分量在此方中不再折扣）。,用法
开胃化痰,用人参二两（焙）、半夏五钱（姜汁浸后焙干），共研为末，和面揉成丸子，如绿豆大。每服三十至五十丸，姜汤送下。饭后服。一天服三次。药中加陈皮五钱亦可。,用法
胃寒气满，饥不能食,用人参二钱、生附子半钱、生姜二钱，加水七合煎成二合，调入鸡蛋清一个，空心服下。,用法
胃虚恶习，或呕吐有痰,用人参一两，加水二碗，煎成一碗，再加竹沥一杯、姜汁三匙。温服。此方最宜老人。,用法
反胃（饮食入口即吐，病人衰弱无力）,用人参三两，切片，加水一升，煮成四合，热服。同时用人参汁加鸡蛋白、薤白（即头）煮粟米粥吃。,用法
妊妇腹痛吐酸，不能饮食,用人参、炮干姜，等分为末。加生地黄汁，做成丸子，如梧子大。每服五十丸，米汤送下。,用法
陽虚气喘，自汗盗汗，气短头晕,用人参五钱、熟附子一两，分为四帖。每帖以生姜十片，加月二碗，煎成一碗，温服。,用法
喘急欲绝,用人参末煎汤，每服一茶匙。一天服五至六次。,用法
产后发喘,用人参末一两；另有苏木二两，加水二碗，煎成一碗后，调参末内服。有特效。,用法
产后诸虚、发热、自汗,用人参、当归，等分为末；另以水三升，加猪腰子一个（切片），糯米半合，葱白二个，煮米至熟。取汁一碗，将人参、当归药末调入煎汤，饭前温服。,用法
产后大便不能，出血很多,用人参、麻子仁、枳壳（麦麸炒过），共研细，加蜜成丸，如梧子大。每服五十丸，米汤送下。,用法
横生倒产,用人参末、乳香末各一钱，丹砂五分，共研细，加鸡蛋白一个，生姜汁三匙，搅匀后冷服。有特效。,用法
怔忡自汗，心气不足,用人参、当归各半两，和Yan猪腰子一对（切片）同煎，空心服。药渣焙干为末，以山药末作糊和药成丸，如绿豆大。每服五十丸，枣汤送下。药中亦可加乳香二钱。,用法
肺虚久咳,用人参二两、鹿角胶（炙过）一两，共研为末，每服三钱。薄荷豉汤（如葱）送下。,用法
喘嗽咳血，脉弱无力,用人参末三钱，鸡蛋白调匀，清晨服下，服后即去枕仰卧。病不久者，一服可愈。久病者两服有效。以乌鸡蛋的蛋白调药。效果更佳。,用法
